	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	f1_macro	fraction	in_f1	metric	model_name	model_path	model_train_data	model_type	n_components	out_f1	out_prec	out_rec	outlier_detector	seed	set_op_mix_ratio	time
34	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8197548267724085	0.05	0.9655626956665019	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	32.0	0.6739469578783152	0.6428571428571429	0.7081967213114754	AE_10_tiny	43.0	1.0	2.519989403022919
35	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	0.1	10.0	1.0	0.8197548267724085	0.05	0.9655626956665019	cosine	doc2vecwikiimdb20news011001	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min1/doc2vec_wiki.bin	wiki_EN	doc2vec	32.0	0.6739469578783152	0.6428571428571429	0.7081967213114754	AE_30_tiny	43.0	1.0	4.603981202992145
36	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9353187177412949	0.05	0.9876421156697973	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8829953198127926	0.8422619047619048	0.9278688524590164	AE_10_tiny	44.0	1.0	2.1506830060388893
37	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9335938835477294	0.05	0.9873125720876585	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	8.0	0.8798751950078003	0.8392857142857143	0.9245901639344263	AE_30_tiny	44.0	1.0	4.071017475973349
38	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9335938835477294	0.05	0.9873125720876585	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	16.0	0.8798751950078003	0.8392857142857143	0.9245901639344263	AE_10_tiny	44.0	1.0	2.1216178209870122
39	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9335938835477294	0.05	0.9873125720876585	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	16.0	0.8798751950078003	0.8392857142857143	0.9245901639344263	AE_30_tiny	44.0	1.0	4.057527507015038
40	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9249697125799021	0.05	0.9856648541769649	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.8642745709828393	0.8244047619047619	0.9081967213114754	AE_10_tiny	44.0	1.0	2.158824170997832
41	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.9232448783863366	0.05	0.9853353105948263	cosine	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	32.0	0.861154446177847	0.8214285714285714	0.9049180327868852	AE_30_tiny	44.0	1.0	4.886392946005799
42	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.7093654383842186	0.05	0.9444719064096228	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	8.0	0.4742589703588144	0.4523809523809524	0.49836065573770494	AE_10_tiny	44.0	1.0	2.1741780349984765
43	0.1	UMAPModel(set_op_mix_ratio=[1.0], metric=['cosine'], n_components=[8, 16, 32], dim_reducer='umap')	1.0	100.0	1.0	0.7352379512877005	0.05	0.9494150601417038	cosine	doc2vec_wiki_all	/home/philipp/projects/dad4td/models/enwiki_dbow/doc2vec.bin	wiki_EN	doc2vec	8.0	0.5210608424336973	0.49702380952380953	0.5475409836065573	AE_30_tiny	44.0	1.0	4.106139908952173
