	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
31	0.0	2.0	1.0	0.5260300540405867	0.5455870663738634	15|1.0|cosine|15|False	0.0	0.9095002745744096	0.9132344865458539	15.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.14255983350676377	0.17793964620187305	0.13604766633565044	0.16981132075471697	0.14972677595628414	0.18688524590163935	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	27.96179383499839	cosine	0.0
32	0.0	3.0	1.0	0.4656333983054673	0.5398350039228998	6|0.4|cosine|90|False	0.0	0.8979681493684788	0.912136188907194	90.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.03329864724245577	0.16753381893860564	0.031777557100297914	0.15988083416087387	0.034972677595628415	0.17595628415300546	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	17.312272931994812	cosine	0.0
33	0.0	3.0	1.0	0.5312069102464541	0.545011860128767	6|1.0|cosine|45|False	0.0	0.9104887424492037	0.9131246567819878	45.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.15192507804370448	0.1768990634755463	0.14498510427010924	0.16881827209533268	0.15956284153005465	0.18579234972677597	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	24.639978813000198	cosine	0.0
34	0.0	3.0	1.0	0.5990812471678264	0.545011860128767	6|1.0|cosine|90|False	0.0	0.9234486545853926	0.9131246567819878	90.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	6.0	0.27471383975026015	0.1768990634755463	0.26216484607745777	0.16881827209533268	0.28852459016393445	0.18579234972677597	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	24.758552195002267	cosine	0.0
35	0.0	3.0	1.0	0.5317821164915505	0.5404102101679962	15|0.0|cosine|90|False	0.0	0.9105985722130697	0.9122460186710599	90.0	0.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.1529656607700312	0.16857440166493234	0.14597815292949354	0.1608738828202582	0.16065573770491803	0.17704918032786884	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	51.89456173800136	cosine	0.0
36	0.0	3.0	1.0	0.5651440787071402	0.5237292290602013	15|0.15|cosine|45|False	0.0	0.9169686985172982	0.9090609555189456	45.0	0.15	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.2133194588969823	0.13839750260145683	0.2035749751737835	0.1320754716981132	0.22404371584699453	0.1453551912568306	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.15774637999857	cosine	0.0
37	0.0	3.0	1.0	0.5081986604425991	0.5237292290602013	15|0.15|cosine|90|False	0.0	0.9060955518945635	0.9090609555189456	90.0	0.15	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.11030176899063476	0.13839750260145683	0.10526315789473684	0.1320754716981132	0.11584699453551912	0.1453551912568306	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	16.80066921099933	cosine	0.0
38	0.0	3.0	1.0	0.5789490285894532	0.5214284040798156	200|1.0|cosine|45|False	0.0	0.9196046128500823	0.9086216364634815	45.0	1.0	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	200.0	0.2382934443288241	0.13423517169614985	0.22740814299900694	0.12810327706057598	0.2502732240437158	0.14098360655737704	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	120.51186403399333	cosine	0.0
39	0.0	3.0	1.0	0.5041722167269245	0.5329325289817433	15|0.3|cosine|90|False	0.0	0.9053267435475014	0.9108182317408018	90.0	0.3	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.10301768990634755	0.15504682622268467	0.09831181727904667	0.14796425024826215	0.10819672131147541	0.1628415300546448	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	18.170414000000164	cosine	0.0
40	0.0	3.0	1.0	0.5363837664523216	0.5317821164915505	15|0.4|cosine|45|False	0.0	0.9114772103239979	0.9105985722130697	45.0	0.4	0.1	doc2vecwikiimdb20news013030	30.0	30.0	doc2vec	/home/philipp/projects/dad4td/models/doc2vec_20_news_imdb_wiki_01_10_min30/doc2vec_wiki.bin	wiki_imdb_20news	doc2vec	15.0	0.16129032258064518	0.1529656607700312	0.15392254220456802	0.14597815292949354	0.16939890710382513	0.16065573770491803	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	43.0	19.20102203800343	cosine	0.0
