	allow_noise	cluster_n	completeness	f1_macro	f1_macro_LOF	hash	homogeneity	in_f1	in_f1_LOF	min_cluster_size	mix_ratio	model_data_frac	model_desc	model_epochs	model_min_count	model_name	model_path	model_size_params	model_train_data	model_type	n_comps	out_f1	out_f1_LOF	out_prec	out_prec_LOF	out_rec	out_rec_LOF	test_data_contamination	test_data_fraction	test_data_name	test_data_path	test_data_seed	time	umap_metric	v_measure
32	0.0	1.0	1.0	0.47619295415517515	0.6157622282756213	-1|0.15|euclidean|500|False	0.0	0.9523859083103503	0.9266337177375069	500.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3048907388137357	0.0	0.29096325719960275	0.0	0.32021857923497266	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	518.334785338986	euclidean	0.0
33	0.0	1.0	1.0	0.47619295415517515	0.6157622282756213	-1|0.15|euclidean|250|False	0.0	0.9523859083103503	0.9266337177375069	250.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3048907388137357	0.0	0.29096325719960275	0.0	0.32021857923497266	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	499.19197490799706	euclidean	0.0
34	0.0	1.0	1.0	0.47619295415517515	0.6364696530990909	-1|0.3|cosine|500|False	0.0	0.9523859083103503	0.9305875892366833	500.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3423517169614984	0.0	0.32671300893743793	0.0	0.35956284153005463	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	371.8485673800169	cosine	0.0
35	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|0.3|euclidean|500|False	0.0	0.9523859083103503	0.929489291598023	500.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	483.96462233699276	euclidean	0.0
36	0.0	1.0	1.0	0.47619295415517515	0.6364696530990909	-1|0.15|cosine|250|False	0.0	0.9523859083103503	0.9305875892366833	250.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3423517169614984	0.0	0.32671300893743793	0.0	0.35956284153005463	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	356.674137679016	cosine	0.0
37	0.0	1.0	1.0	0.47619295415517515	0.6364696530990909	-1|0.3|cosine|250|False	0.0	0.9523859083103503	0.9305875892366833	250.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3423517169614984	0.0	0.32671300893743793	0.0	0.35956284153005463	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	358.79239334899466	cosine	0.0
38	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|0.15|euclidean|250|False	0.0	0.9523859083103503	0.929489291598023	250.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	473.92886944301426	euclidean	0.0
39	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|0.4|euclidean|250|False	0.0	0.9523859083103503	0.929489291598023	250.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	471.49836960001267	euclidean	0.0
40	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|0.3|euclidean|250|False	0.0	0.9523859083103503	0.929489291598023	250.0	0.3		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	471.0738261399965	euclidean	0.0
41	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|0.4|euclidean|500|False	0.0	0.9523859083103503	0.929489291598023	500.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	483.9652403810178	euclidean	0.0
42	0.0	1.0	1.0	0.47619295415517515	0.6364696530990909	-1|0.15|cosine|500|False	0.0	0.9523859083103503	0.9305875892366833	500.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3423517169614984	0.0	0.32671300893743793	0.0	0.35956284153005463	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	371.9027830809937	cosine	0.0
43	0.0	1.0	1.0	0.47619295415517515	0.6364696530990909	-1|0.4|cosine|500|False	0.0	0.9523859083103503	0.9305875892366833	500.0	0.4		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.3423517169614984	0.0	0.32671300893743793	0.0	0.35956284153005463	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	371.7879361479718	cosine	0.0
44	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|1.0|euclidean|250|False	0.0	0.9523859083103503	0.929489291598023	250.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	471.0948213300144	euclidean	0.0
45	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|0.15|euclidean|500|False	0.0	0.9523859083103503	0.929489291598023	500.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	485.557543967996	euclidean	0.0
46	0.0	1.0	1.0	0.47619295415517515	0.630717590648127	-1|1.0|euclidean|500|False	0.0	0.9523859083103503	0.929489291598023	500.0	1.0		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	-1.0	0.0	0.331945889698231	0.0	0.31678252234359483	0.0	0.34863387978142074	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	44.0	484.0499625420198	euclidean	0.0
47	0.0	3.0	1.0	0.8136331765887744	0.5622680474816584	3|0.15|euclidean|500|False	0.0	0.9644151565074136	0.9164195496979681	500.0	0.15		allenai/longformer-large-4096			allenai/longformer-large-4096		435.0	EN_lower	transformer	3.0	0.6628511966701353	0.20811654526534856	0.6325719960278053	0.19860973187686196	0.6961748633879782	0.2185792349726776	0.1	0.15	imdb_20news	/home/philipp/projects/dad4td/data/processed/20_news_imdb.pkl	42.0	10.514187083987053	euclidean	0.0
