	cluster_n	completeness	contamination	data_frac	f1_macro	hash	homogeneity	in_f1	min_cluster_sizes_	mix_ratios_	n_comps_	out_f1	out_prec	out_rec	seed	time	umap_metrics_	v_measure
49	3.0	1.0	0.1	0.15	0.5185523728543339	45|0.15|cosine|45	0.0	0.9080724876441516	45.0	0.15	45.0	0.12903225806451613	0.12313803376365443	0.1355191256830601	42.0	17.668094695000036	cosine	0.0
50	3.0	1.0	0.1	0.15	0.5795242348345496	15|0.4|cosine|45	0.0	0.9197144426139483	45.0	0.4	15.0	0.2393340270551509	0.22840119165839126	0.25136612021857924	42.0	17.527856392000103	cosine	0.0
51	3.0	1.0	0.1	0.15	0.6066634706683591	45|0.4|cosine|15	0.0	0.9249354785569162	15.0	0.4	45.0	0.28839146277980215	0.2753479125248509	0.30273224043715846	42.0	22.254086523000296	cosine	0.0
52	3.0	1.0	0.1	0.15	0.581825059814935	15|0.4|cosine|15	0.0	0.9201537616694123	15.0	0.4	15.0	0.24349635796045785	0.2323733862959285	0.25573770491803277	42.0	17.126382108999678	cosine	0.0
53	3.0	1.0	0.1	0.15	0.47311107949172015	15|0.15|cosine|90	0.0	0.8993959362987369	90.0	0.15	15.0	0.046826222684703434	0.044687189672293945	0.04918032786885246	42.0	13.912620813000103	cosine	0.0
54	3.0	1.0	0.1	0.15	0.5283308790209722	15|0.15|cosine|45	0.0	0.9099395936298736	45.0	0.15	15.0	0.14672216441207075	0.1400198609731877	0.1540983606557377	42.0	13.378112222002528	cosine	0.0
55	3.0	1.0	0.1	0.15	0.5473126851091525	45|0.4|cosine|45	0.0	0.9135639758374519	45.0	0.4	45.0	0.18106139438085328	0.1727904667328699	0.1901639344262295	42.0	23.246467779998056	cosine	0.0
56	3.0	1.0	0.1	0.15	0.4966945355406716	45|0.3|cosine|45	0.0	0.9038989566172433	45.0	0.3	45.0	0.08949011446409989	0.08540218470705065	0.09398907103825137	42.0	21.392603497999517	cosine	0.0
57	3.0	1.0	0.1	0.15	0.5289060852660685	45|0.4|cosine|90	0.0	0.9100494233937396	90.0	0.4	45.0	0.14776274713839752	0.141012909632572	0.1551912568306011	42.0	24.030343410999194	cosine	0.0
58	3.0	1.0	0.1	0.15	0.5593920162561765	15|0.3|cosine|45	0.0	0.9158704008786381	45.0	0.3	15.0	0.20291363163371487	0.1936444885799404	0.21311475409836064	42.0	16.13681424600145	cosine	0.0
59	3.0	1.0	0.1	0.15	0.6554514591872711	15|0.3|cosine|15	0.0	0.9342119714442614	15.0	0.3	15.0	0.37669094693028093	0.35948361469712015	0.39562841530054643	42.0	15.563541077997797	cosine	0.0
60	3.0	1.0	0.1	0.15	0.524879641550394	200|0.15|cosine|45	0.0	0.9092806150466777	45.0	0.15	200.0	0.1404786680541103	0.13406156901688182	0.14754098360655737	42.0	66.13193804199909	cosine	0.0
61	3.0	1.0	0.1	0.15	0.47138546075643106	3|0.4|cosine|90	0.0	0.8990664470071389	90.0	0.4	3.0	0.043704474505723206	0.041708043694141016	0.04590163934426229	42.0	13.751664872997935	cosine	0.0
62	3.0	1.0	0.1	0.15	0.5714713474032004	3|0.4|cosine|45	0.0	0.9181768259198242	45.0	0.4	3.0	0.22476586888657651	0.21449851042701093	0.2360655737704918	42.0	13.518401753000944	cosine	0.0
63	3.0	1.0	0.1	0.15	0.6803241520940358	200|0.3|cosine|15	0.0	0.9389929163692274	15.0	0.3	200.0	0.4216553878188443	0.4025844930417495	0.4426229508196721	42.0	64.27231810599915	cosine	0.0
64	3.0	1.0	0.1	0.15	0.6554514591872711	3|0.4|cosine|15	0.0	0.9342119714442614	15.0	0.4	3.0	0.37669094693028093	0.35948361469712015	0.39562841530054643	42.0	13.508824469998217	cosine	0.0
